orig_word,sorted_word
ordinary,adinorry
organ,agnor
origin,giinor
ornament,aemnnort
otherwise,eehiorstw
ought,ghotu
our,oru
outline,eilnotu
outside,deiostu
oven,enov
overcome,ceemoorv
owe,eow
own,now
owner,enorw
ownership,ehinoprsw
pack,ackp
package,aacegkp
pad,adp
pair,aipr
pale,aelp
pan,anp
parallel,aaelllpr
parcel,acelpr
parent,aenprt
park,akpr
particle,aceilprt
particular,aacilprrtu
partner,aenprrt
party,aprty
pass,apss
passage,aaegpss
passenger,aeegnprss
path,ahpt
patience,aceeinpt
patient,aeinptt
pattern,aenprtt
pause,aepsu
pay,apy
payment,aemnpty
peculiar,aceilpru
people,eelopp
per,epr
perfect,ceefprt
perform,efmoprr
performance,aceefmnoprr
perhaps,aehpprs
permanent,aeemnnprt
permission,eiimnoprss
permit,eimprt
persuade,adeeprsu
pet,ept
photograph,aghhoopprt
physical,achilpsy
pick,cikp
piece,ceeip
pig,gip
pile,eilp
pink,iknp
pity,ipty
plain,ailnp
plan,alnp
plane,aelnp
plaster,aelprst
pleasant,aaelnpst
plenty,elnpty
plough,ghlopu
poem,emop
poet,eopt
police,ceilop
polite,eilopt
politician,aciiilnopt
politics,ciilopst
pool,loop
popular,aloppru
population,ailnoopptu
porter,eoprrt
possess,eopssss
possession,einoopssss
post,opst
postpone,enooppst
potato,aooptt
pound,dnopu
pour,opru
poverty,eoprtvy
practical,aaccilprt
practice,acceiprt
praise,aeiprs
pray,apry
preach,acehpr
precious,ceioprsu
prefer,eefprr
preference,ceeeefnprr
prejudice,cdeeijpru
prepare,aeepprr
presence,ceeenprs
preserve,eeeprrsv
president,deeinprst
press,eprss
pressure,eeprrssu
pretend,deenprt
pretty,eprtty
prevent,eenprtv
prevention,eeinnoprtv
pride,deipr
priest,eiprst
prize,eiprz
problem,belmopr
process,ceoprss
product,cdoprtu
production,cdinooprtu
profession,efinooprss
progress,egoprrss
promise,eimoprs
prompt,mopprt
pronounce,cennoopru
proof,foopr
proper,eopprr
proposal,aloopprs
propose,eoopprs
prose,eoprs
protect,ceoprtt
protection,ceinooprtt
protest,eoprstt
proud,dopru
prove,eoprv
provide,deioprv
punish,hinpsu
punishment,ehimnnpstu
pupil,ilppu
pure,epru
puzzle,elpuzz
qualification,aacfiiilnoqtu
qualify,afilquy
quantity,ainqttuy
quarrel,aelqrru
quarter,aeqrrtu
queen,eenqu
rabbit,abbirt
race,acer
radio,adior
railroad,aadilorr
raise,aeirs
range,aegnr
rank,aknr
rapid,adipr
rare,aerr
rat,art
rather,aehrrt
raw,arw
ray,ary
reach,acehr
reaction,aceinort
read,ader
reading,adeginr
real,aelr
reasonable,aabeelnors
receipt,ceeiprt
receive,ceeeirv
received,cdeeeirv
recent,ceenrt
recognition,cegiinnoort
recommend,cdeemmnor
reduce,cdeeru
reduction,cdeinortu
refer,eefrr
reference,ceeeefnrr
reflect,ceeflrt
reflection,ceefilnort
refresh,eefhrrs
refuse,eefrsu
regard,adegrr
relate,aeelrt
relative,aeeilrtv
relief,eefilr
relieve,eeeilrv
remain,aeimnr
remark,aekmrr
remedy,deemry
remember,beeemmrr
remind,deimnr
rent,enrt
repair,aeiprr
repeat,aeeprt
repetition,eeiinoprtt
replace,aceelpr
reply,elpry
report,eoprrt
represent,eeenprrst
reproduce,cdeeoprru
republic,bceilpru
reputation,aeinoprttu
rescue,ceersu
reserve,eeerrsv
resign,eginrs
resist,eirsst
resistance,aceeinrsst
restaurant,aaenrrsttu
result,elrstu
retire,eeirrt
return,enrrtu
review,eeirvw
rhythm,hhmrty
ribbon,bbinor
rich,chir
rid,dir
ride,deir
rise,eirs
risk,ikrs
rival,ailrv
roar,aorr
roast,aorst
rob,bor
rock,ckor
rod,dor
rope,eopr
row,orw
royal,alory
rubber,bberru
rug,gru
ruin,inru
rush,hrsu
rust,rstu
sacred,acders
sacrifice,accefiirs
saddle,addels
safety,aefsty
sake,aeks
salary,aalrsy
sale,aels
salesman,aaelmnss
sample,aelmps
satisfaction,aacfiinosstt
satisfactory,aacfiorsstty
satisfy,afissty
sauce,acesu
save,aesv
saw,asw
scarce,accers
scatter,acerstt
scene,ceens
scenery,ceenrsy
scientific,ccefiiinst
scientist,ceiinsstt
scissors,ciorssss
scrape,aceprs
scratch,acchrst
screen,ceenrs
search,acehrs
season,aenoss
seize,eeisz
seldom,delmos
selection,ceeilnost
sell,ells
sensitive,eeiinsstv
sentence,ceeennst
separation,aaeinoprst
serve,eersv
service,ceeirsv
set,est
settle,eelstt
several,aeelrsv
severe,eeersv
sew,esw
sex,esx
shadow,adhosw
shall,ahlls
shallow,ahllosw
shape,aehps
share,aehrs
shave,aehsv
sheet,eehst
shell,ehlls
shelter,eehlrst
shield,dehils
shine,ehins
shoot,hoost
shop,hops
shore,ehors
should,dhlosu
shoulder,dehlorsu
shout,hostu
show,hosw
shower,ehorsw
sick,ciks
sight,ghist
signal,agilns
silence,ceeilns
silent,eilnst
silk,ikls
simplicity,ciiilmpsty
since,ceins
sincere,ceeinrs
sing,gins
single,egilns
sink,ikns
sir,irs
sit,ist
situation,aiinosttu
skill,iklls
slave,aelsv
slavery,aelrsvy
slide,deils
slight,ghilst
smash,ahmss
sneeze,eeensz
social,acilos
sock,ckos
soften,efnost
soil,ilos
soldier,deilors
solemn,elmnos
solution,ilnoostu
solve,elosv
somebody,bdemoosy
somehow,ehmoosw
someone,eemnoos
something,eghimnost
sometimes,eeimmosst
somewhere,eeehmorsw
soon,noos
sorry,orrsy
soul,losu
spade,adeps
spare,aeprs
speak,aekps
speech,ceehps
speed,deeps
spell,ellps
spend,denps
spin,inps
spirit,iiprst
spit,ipst
spite,eipst
splendid,ddeilnps
split,ilpst
sponge,egnops
spoon,noops
sport,oprst
spot,opst
spread,adeprs
staff,affst
stain,ainst
stair,airst
stand,adnst
standard,aaddnrst
state,aestt
statement,aeemnsttt
stay,asty
steady,adesty
steep,eepst
steer,eerst
sticky,ciksty
stir,irst
stitch,chistt
stock,ckost
stocking,cgiknost
storm,morst
stove,eostv
straighten,aeghinrstt
straw,arstw
stream,aemrst
strength,eghnrstt
strengthen,eeghnnrstt
strict,cirstt
strike,eikrst
string,ginrst
strip,iprst
stroke,ekorst
structure,cerrsttuu
struggle,egglrstu
student,densttu
study,dstuy
stuff,ffstu
stupid,dipstu
subject,bcejstu
succeed,ccdeesu
success,ccesssu
suck,cksu
suffer,effrsu
suggest,eggsstu
suit,istu
supper,epprsu
supply,lppsuy
suppose,eoppssu
sure,ersu
surface,acefrsu
surround,dnorrsuu
suspect,cepsstu
suspicion,ciinopssu
suspicious,ciiopsssuu
swallow,allosww
swear,aersw
sweat,aestw
sweep,eepsw
swell,ellsw
swing,ginsw
sympathetic,acehimpstty
sympathy,ahmpstyy
tap,apt
taxi,aitx
tea,aet
teach,aceht
teaching,aceghint
tear,aert
telegraph,aeeghlprt
telephone,eeehlnopt
tell,ellt
temperature,aeeemprrttu
temple,eelmpt
tempt,emptt
tend,dent
tendency,cdeennty
tender,deenrt
tent,entt
term,emrt
terrible,beeilrrt
thank,ahknt
theatrical,aacehilrtt
them,ehmt
theory,ehorty
therefore,eeefhorrt
these,eehst
thief,efhit
thorough,ghhoortu
those,ehost
thought,ghhottu
threat,aehrtt
threaten,aeehnrtt
throw,hortw
thus,hstu
tide,deit
tie,eit
tin,int
tip,ipt
tire,eirt
tired,deirt
title,eiltt
tobacco,abccoot
today,adoty
ton,not
tonight,ghinott
too,oot
tool,loot
total,alott
tough,ghotu
tour,ortu
toward,adortw
towel,elotw
tower,eortw
toy,oty
track,ackrt
translate,aaelnrstt
translation,aailnnorstt
transport,anoprrstt
trap,aprt
travel,aelrtv
treasure,aeerrstu
treasury,aerrstuy
treat,aertt
tremble,beelmrt
trial,ailrt
tribe,beirt
trip,iprt
trousers,eorrsstu
trust,rsttu
truth,hrttu
try,rty
tube,betu
tune,entu
two,otw
type,epty
ugly,gluy
umbrella,abellmru
uncle,celnu
understand,addennrstu
union,innou
unite,eintu
unity,intuy
universal,aeilnrsuv
universe,eeinrsuv
university,eiinrstuvy
unless,elnssu
until,ilntu
upon,nopu
upper,eppru
upset,epstu
urge,egru
urgent,egnrtu
us,su
usual,alsuu
valley,aellvy
valuable,aabelluv
variety,aeirtvy
various,aiorsuv
veil,eilv
verb,berv
victory,ciortvy
village,aegillv
violence,ceeilnov
virtue,eirtuv
visit,iistv
visitor,iiorstv
vote,eotv
voyage,aegovy
wage,aegw
wait,aitw
waiter,aeirtw
waiting,agiintw
wake,aekw
wander,adenrw
want,antw
warmth,ahmrtw
warn,anrw
was,asw
weak,aekw
weaken,aeeknw
wealth,aehltw
weapon,aenopw
wear,aerw
weave,aeevw
weekend,deeeknw
weigh,eghiw
welcome,ceelmow
were,eerw
western,eenrstw
whatever,aeehrtvw
whenever,eeehnrvw
wherever,eeehrrvw
whether,eehhrtw
whisper,ehiprsw
whole,ehlow
widow,dioww
width,dhitw
wife,efiw
wild,dilw
win,inw
wipe,eipw
wisdom,dimosw
wish,hisw
within,hiintw
without,hiottuw
witness,einsstw
wonder,denorw
wooden,denoow
wool,loow
world,dlorw
worm,morw
worry,orrwy
worse,eorsw
worship,hioprsw
worth,hortw
wrap,aprw
wreck,cekrw
wrist,irstw
write,eirtw
writing,giinrtw
yard,adry
yet,ety
yield,deily
your,oruy
yours,orsuy
youth,hotuy
zero,eorz
